	Dataset	Patient	CompClass	Freq
640	GSE151530	H73b	NK cell	73
641	GSE151530	H74	NK cell	33
642	GSE151530	H75	NK cell	35
643	GSE151530	H77	NK cell	112
644	scCRLM	P1	NK cell	192
645	scCRLM	P10	NK cell	415
646	scCRLM	P11	NK cell	426
647	scCRLM	P12	NK cell	243
648	scCRLM	P13	NK cell	1521
649	scCRLM	P14	NK cell	568
650	scCRLM	P15	NK cell	1651
651	scCRLM	P16	NK cell	125
652	scCRLM	P17	NK cell	552
653	scCRLM	P18	NK cell	63
654	scCRLM	P19	NK cell	496
655	scCRLM	P2	NK cell	426
656	scCRLM	P20	NK cell	242
657	scCRLM	P3	NK cell	1097
658	scCRLM	P4	NK cell	892
659	scCRLM	P5	NK cell	1099
660	scCRLM	P6	NK cell	597
661	scCRLM	P7	NK cell	490
662	scCRLM	P8	NK cell	637
663	scCRLM	P9	NK cell	454
664	GSE164522	patient08	NK cell	944
665	GSE164522	patient09	NK cell	799
666	GSE164522	patient10	NK cell	759
667	GSE164522	patient11	NK cell	774
668	GSE164522	patient12	NK cell	3190
669	GSE164522	patient13	NK cell	2019
670	GSE164522	patient14	NK cell	744
671	GSE164522	patient15	NK cell	1180
672	GSE164522	patient16	NK cell	3043
673	GSE164522	patient17	NK cell	1149
674	GSE125449	S02_P01_LCP21	NK cell	1
675	GSE125449	S11_P06_LCP29	NK cell	24
676	GSE125449	S15_P09_LCP38	NK cell	1
677	GSE125449	S300_P02_LCP60	NK cell	40
678	GSE125449	S365_P22_LCP66	NK cell	5
679	GSE132465	SMC01	NK cell	56
680	GSE132465	SMC02	NK cell	35
681	GSE132465	SMC03	NK cell	140
682	GSE132465	SMC04	NK cell	21
683	GSE132465	SMC05	NK cell	14
684	GSE132465	SMC06	NK cell	131
685	GSE132465	SMC07	NK cell	83
686	GSE132465	SMC08	NK cell	40
687	GSE132465	SMC09	NK cell	30
688	GSE132465	SMC10	NK cell	22
689	GSE132465	SMC11	NK cell	99
690	GSE132465	SMC14	NK cell	53
691	GSE132465	SMC15	NK cell	21
692	GSE132465	SMC16	NK cell	8
693	GSE132465	SMC17	NK cell	18
694	GSE132465	SMC18	NK cell	18
695	GSE132465	SMC19	NK cell	9
696	GSE132465	SMC20	NK cell	22
697	GSE132465	SMC21	NK cell	21
698	GSE132465	SMC22	NK cell	12
699	GSE132465	SMC23	NK cell	32
700	GSE132465	SMC24	NK cell	65
701	GSE132465	SMC25	NK cell	57
702	GSE151530	C60	pDC	49
703	GSE178318	COL07	pDC	194
704	GSE178318	COL15	pDC	55
705	GSE178318	COL16	pDC	48
706	GSE178318	COL17	pDC	1
707	GSE178318	COL18	pDC	63
708	GSE140228	D20171109	pDC	21
709	GSE140228	D20171215	pDC	1
710	GSE140228	D20180108	pDC	4
711	GSE140228	D20180116	pDC	7
712	GSE112271	GSE112271_Patient_13	pDC	18
713	GSE112271	GSE112271_Patient_14	pDC	18
714	GSE166635	GSM5076749	pDC	42
715	GSE151530	H08	pDC	3
716	GSE151530	H30	pDC	2
717	GSE151530	H38	pDC	3
718	GSE151530	H58a	pDC	15
719	GSE151530	H58b	pDC	1
720	GSE151530	H58c	pDC	2
721	GSE151530	H68a	pDC	2
722	GSE151530	H70	pDC	5
723	GSE151530	H73a	pDC	46
724	GSE151530	H73b	pDC	20
725	GSE151530	H75	pDC	5
726	GSE151530	H77	pDC	17
727	scCRLM	P10	pDC	1
728	scCRLM	P14	pDC	27
729	scCRLM	P15	pDC	4
730	scCRLM	P16	pDC	6
731	scCRLM	P17	pDC	8
732	scCRLM	P19	pDC	12
733	scCRLM	P20	pDC	1
734	GSE164522	patient08	pDC	33
735	GSE164522	patient09	pDC	26
736	GSE164522	patient10	pDC	21
737	GSE164522	patient11	pDC	77
738	GSE164522	patient12	pDC	134
739	GSE164522	patient13	pDC	1
740	GSE164522	patient14	pDC	30
741	GSE164522	patient15	pDC	30
742	GSE164522	patient16	pDC	8
743	GSE164522	patient17	pDC	50
744	GSE125449	S12_P07_LCP30	pDC	2
745	GSE125449	S15_P09_LCP38	pDC	2
746	GSE125449	S300_P02_LCP60	pDC	49
747	GSE132465	SMC01	pDC	26
748	GSE132465	SMC02	pDC	29
749	GSE132465	SMC03	pDC	2
750	GSE132465	SMC04	pDC	25
751	GSE132465	SMC06	pDC	1
752	GSE132465	SMC07	pDC	38
753	GSE132465	SMC08	pDC	7
754	GSE132465	SMC09	pDC	18
755	GSE132465	SMC10	pDC	8
756	GSE132465	SMC11	pDC	5
757	GSE132465	SMC14	pDC	21
758	GSE132465	SMC15	pDC	5
759	GSE132465	SMC16	pDC	3
760	GSE132465	SMC17	pDC	10
761	GSE132465	SMC20	pDC	25
762	GSE132465	SMC21	pDC	2
763	GSE132465	SMC23	pDC	13
764	GSE132465	SMC24	pDC	11
765	GSE132465	SMC25	pDC	3
766	GSE151530	C60	Plasma cell	1
767	GSE151530	C66	Plasma cell	2
768	GSE178318	COL07	Plasma cell	617
769	GSE178318	COL12	Plasma cell	121
770	GSE178318	COL15	Plasma cell	82
771	GSE178318	COL16	Plasma cell	48
772	GSE178318	COL17	Plasma cell	1228
773	GSE178318	COL18	Plasma cell	1000
774	GSE140228	D20171109	Plasma cell	179
775	GSE140228	D20171215	Plasma cell	134
776	GSE140228	D20180108	Plasma cell	29
777	GSE140228	D20180110	Plasma cell	216
778	GSE140228	D20180116	Plasma cell	72
779	GSE112271	GSE112271_Patient_13	Plasma cell	19
780	GSE112271	GSE112271_Patient_14	Plasma cell	21
781	GSE166635	GSM5076749	Plasma cell	72
782	GSE166635	GSM5076750	Plasma cell	45
783	GSE151530	H08	Plasma cell	5
784	GSE151530	H38	Plasma cell	1
785	GSE151530	H58a	Plasma cell	2
786	GSE151530	H58b	Plasma cell	2
787	GSE151530	H65	Plasma cell	11
788	GSE151530	H68a	Plasma cell	1
789	GSE151530	H68b	Plasma cell	1
790	GSE151530	H70	Plasma cell	234
791	GSE151530	H72	Plasma cell	1
792	GSE151530	H73a	Plasma cell	3
793	GSE151530	H73b	Plasma cell	3
794	GSE151530	H74	Plasma cell	1
795	GSE151530	H77	Plasma cell	3
796	scCRLM	P1	Plasma cell	98
797	scCRLM	P10	Plasma cell	102
798	scCRLM	P11	Plasma cell	188
799	scCRLM	P12	Plasma cell	248
800	scCRLM	P13	Plasma cell	37
801	scCRLM	P14	Plasma cell	29
802	scCRLM	P15	Plasma cell	93
803	scCRLM	P16	Plasma cell	38
804	scCRLM	P17	Plasma cell	196
805	scCRLM	P18	Plasma cell	305
806	scCRLM	P19	Plasma cell	208
807	scCRLM	P2	Plasma cell	29
808	scCRLM	P20	Plasma cell	28
809	scCRLM	P3	Plasma cell	71
810	scCRLM	P4	Plasma cell	187
811	scCRLM	P5	Plasma cell	404
812	scCRLM	P6	Plasma cell	265
813	scCRLM	P7	Plasma cell	457
814	scCRLM	P8	Plasma cell	548
815	scCRLM	P9	Plasma cell	1022
816	GSE164522	patient08	Plasma cell	142
817	GSE164522	patient09	Plasma cell	337
818	GSE164522	patient10	Plasma cell	307
819	GSE164522	patient11	Plasma cell	2716
820	GSE164522	patient12	Plasma cell	452
821	GSE164522	patient13	Plasma cell	574
822	GSE164522	patient14	Plasma cell	651
823	GSE164522	patient15	Plasma cell	548
824	GSE164522	patient16	Plasma cell	779
825	GSE164522	patient17	Plasma cell	1745
826	GSE125449	S02_P01_LCP21	Plasma cell	6
827	GSE125449	S12_P07_LCP30	Plasma cell	551
828	GSE125449	S15_P09_LCP38	Plasma cell	3
829	GSE125449	S358_P16_LCP46	Plasma cell	2
830	GSE125449	S364_P21_LCP65	Plasma cell	10
831	GSE125449	S365_P22_LCP66	Plasma cell	22
832	GSE132465	SMC01	Plasma cell	52
833	GSE132465	SMC02	Plasma cell	17
834	GSE132465	SMC03	Plasma cell	139
835	GSE132465	SMC04	Plasma cell	10
836	GSE132465	SMC05	Plasma cell	27
837	GSE132465	SMC06	Plasma cell	67
838	GSE132465	SMC07	Plasma cell	460
839	GSE132465	SMC08	Plasma cell	111
840	GSE132465	SMC09	Plasma cell	11
841	GSE132465	SMC10	Plasma cell	81
842	GSE132465	SMC11	Plasma cell	177
843	GSE132465	SMC14	Plasma cell	20
844	GSE132465	SMC15	Plasma cell	94
845	GSE132465	SMC16	Plasma cell	4
846	GSE132465	SMC17	Plasma cell	31
847	GSE132465	SMC18	Plasma cell	23
848	GSE132465	SMC19	Plasma cell	89
849	GSE132465	SMC20	Plasma cell	53
850	GSE132465	SMC21	Plasma cell	15
851	GSE132465	SMC22	Plasma cell	5
852	GSE132465	SMC23	Plasma cell	80
853	GSE132465	SMC24	Plasma cell	36
854	GSE132465	SMC25	Plasma cell	86
855	GSE151530	C29	T cell CD4	236
856	GSE151530	C46b	T cell CD4	4
857	GSE151530	C60	T cell CD4	377
858	GSE151530	C66	T cell CD4	18
859	GSE178318	COL07	T cell CD4	7052
860	GSE178318	COL12	T cell CD4	3279
861	GSE178318	COL15	T cell CD4	1874
862	GSE178318	COL16	T cell CD4	1720
863	GSE178318	COL17	T cell CD4	5540
864	GSE178318	COL18	T cell CD4	3821
865	GSE140228	D20171109	T cell CD4	529
866	GSE140228	D20171215	T cell CD4	1121
867	GSE140228	D20180108	T cell CD4	1129
868	GSE140228	D20180110	T cell CD4	2280
869	GSE140228	D20180116	T cell CD4	792
870	GSE112271	GSE112271_Patient_13	T cell CD4	1564
871	GSE112271	GSE112271_Patient_14	T cell CD4	251
872	GSE166635	GSM5076749	T cell CD4	1599
873	GSE166635	GSM5076750	T cell CD4	834
874	GSE151530	H08	T cell CD4	431
875	GSE151530	H21	T cell CD4	142
876	GSE151530	H30	T cell CD4	33
877	GSE151530	H38	T cell CD4	5
878	GSE151530	H49a	T cell CD4	283
879	GSE151530	H58a	T cell CD4	240
880	GSE151530	H58b	T cell CD4	114
881	GSE151530	H58c	T cell CD4	833
882	GSE151530	H62	T cell CD4	322
883	GSE151530	H65	T cell CD4	1
884	GSE151530	H68a	T cell CD4	11
885	GSE151530	H68b	T cell CD4	64
886	GSE151530	H70	T cell CD4	287
887	GSE151530	H72	T cell CD4	316
888	GSE151530	H73a	T cell CD4	545
889	GSE151530	H73b	T cell CD4	419
890	GSE151530	H74	T cell CD4	71
891	GSE151530	H75	T cell CD4	639
892	GSE151530	H77	T cell CD4	1022
893	scCRLM	P1	T cell CD4	657
894	scCRLM	P10	T cell CD4	1291
895	scCRLM	P11	T cell CD4	815
896	scCRLM	P12	T cell CD4	1749
897	scCRLM	P13	T cell CD4	844
898	scCRLM	P14	T cell CD4	1009
899	scCRLM	P15	T cell CD4	1728
900	scCRLM	P16	T cell CD4	1191
901	scCRLM	P17	T cell CD4	1042
902	scCRLM	P18	T cell CD4	341
903	scCRLM	P19	T cell CD4	2110
904	scCRLM	P2	T cell CD4	785
905	scCRLM	P20	T cell CD4	596
906	scCRLM	P3	T cell CD4	1185
907	scCRLM	P4	T cell CD4	767
908	scCRLM	P5	T cell CD4	2113
909	scCRLM	P6	T cell CD4	2006
910	scCRLM	P7	T cell CD4	1692
911	scCRLM	P8	T cell CD4	1816
912	scCRLM	P9	T cell CD4	2372
913	GSE164522	patient08	T cell CD4	2168
914	GSE164522	patient09	T cell CD4	980
915	GSE164522	patient10	T cell CD4	1716
916	GSE164522	patient11	T cell CD4	1560
917	GSE164522	patient12	T cell CD4	4063
918	GSE164522	patient13	T cell CD4	4139
919	GSE164522	patient14	T cell CD4	4820
920	GSE164522	patient15	T cell CD4	1667
921	GSE164522	patient16	T cell CD4	2328
922	GSE164522	patient17	T cell CD4	2225
923	GSE125449	S02_P01_LCP21	T cell CD4	133
924	GSE125449	S11_P06_LCP29	T cell CD4	145
925	GSE125449	S12_P07_LCP30	T cell CD4	27
926	GSE125449	S15_P09_LCP38	T cell CD4	2
927	GSE125449	S300_P02_LCP60	T cell CD4	651
928	GSE125449	S358_P16_LCP46	T cell CD4	5
929	GSE125449	S364_P21_LCP65	T cell CD4	2
930	GSE125449	S365_P22_LCP66	T cell CD4	17
931	GSE132465	SMC01	T cell CD4	557
932	GSE132465	SMC02	T cell CD4	282
933	GSE132465	SMC03	T cell CD4	132
934	GSE132465	SMC04	T cell CD4	287
935	GSE132465	SMC05	T cell CD4	159
936	GSE132465	SMC06	T cell CD4	446
937	GSE132465	SMC07	T cell CD4	908
938	GSE132465	SMC08	T cell CD4	372
939	GSE132465	SMC09	T cell CD4	463
940	GSE132465	SMC10	T cell CD4	377
941	GSE132465	SMC11	T cell CD4	558
942	GSE132465	SMC14	T cell CD4	244
943	GSE132465	SMC15	T cell CD4	469
944	GSE132465	SMC16	T cell CD4	83
945	GSE132465	SMC17	T cell CD4	112
946	GSE132465	SMC18	T cell CD4	156
947	GSE132465	SMC19	T cell CD4	456
948	GSE132465	SMC20	T cell CD4	168
949	GSE132465	SMC21	T cell CD4	276
950	GSE132465	SMC22	T cell CD4	154
951	GSE132465	SMC23	T cell CD4	397
952	GSE132465	SMC24	T cell CD4	279
953	GSE132465	SMC25	T cell CD4	500
954	GSE151530	C29	T cell CD8	240
955	GSE151530	C46b	T cell CD8	1
956	GSE151530	C60	T cell CD8	117
957	GSE151530	C66	T cell CD8	9
958	GSE178318	COL07	T cell CD8	5654
959	GSE178318	COL12	T cell CD8	2746
960	GSE178318	COL15	T cell CD8	2399
961	GSE178318	COL16	T cell CD8	4682
962	GSE178318	COL17	T cell CD8	6074
963	GSE178318	COL18	T cell CD8	6480
964	GSE140228	D20171109	T cell CD8	1917
965	GSE140228	D20171215	T cell CD8	2266
966	GSE140228	D20180108	T cell CD8	2306
967	GSE140228	D20180110	T cell CD8	3175
968	GSE140228	D20180116	T cell CD8	833
969	GSE112271	GSE112271_Patient_13	T cell CD8	314
970	GSE112271	GSE112271_Patient_14	T cell CD8	6
971	GSE166635	GSM5076749	T cell CD8	303
972	GSE166635	GSM5076750	T cell CD8	1535
973	GSE151530	H08	T cell CD8	166
974	GSE151530	H21	T cell CD8	20
975	GSE151530	H30	T cell CD8	29
976	GSE151530	H38	T cell CD8	8
977	GSE151530	H49a	T cell CD8	231
978	GSE151530	H58a	T cell CD8	257
979	GSE151530	H58b	T cell CD8	41
980	GSE151530	H58c	T cell CD8	481
981	GSE151530	H62	T cell CD8	76
982	GSE151530	H68a	T cell CD8	5
983	GSE151530	H68b	T cell CD8	43
984	GSE151530	H70	T cell CD8	316
985	GSE151530	H72	T cell CD8	529
986	GSE151530	H73a	T cell CD8	1825
987	GSE151530	H73b	T cell CD8	1325
988	GSE151530	H74	T cell CD8	105
989	GSE151530	H75	T cell CD8	345
990	GSE151530	H77	T cell CD8	866
991	scCRLM	P1	T cell CD8	1342
992	scCRLM	P10	T cell CD8	1952
993	scCRLM	P11	T cell CD8	2080
994	scCRLM	P12	T cell CD8	1687
995	scCRLM	P13	T cell CD8	3638
996	scCRLM	P14	T cell CD8	1083
997	scCRLM	P15	T cell CD8	1779
998	scCRLM	P16	T cell CD8	453
999	scCRLM	P17	T cell CD8	1876
1000	scCRLM	P18	T cell CD8	179
1001	scCRLM	P19	T cell CD8	2325
1002	scCRLM	P2	T cell CD8	1746
1003	scCRLM	P20	T cell CD8	1278
1004	scCRLM	P3	T cell CD8	987
1005	scCRLM	P4	T cell CD8	2153
1006	scCRLM	P5	T cell CD8	4198
1007	scCRLM	P6	T cell CD8	3936
1008	scCRLM	P7	T cell CD8	3825
1009	scCRLM	P8	T cell CD8	2637
1010	scCRLM	P9	T cell CD8	3846
1011	GSE164522	patient08	T cell CD8	1510
1012	GSE164522	patient09	T cell CD8	4392
1013	GSE164522	patient10	T cell CD8	3842
1014	GSE164522	patient11	T cell CD8	2469
1015	GSE164522	patient12	T cell CD8	7474
1016	GSE164522	patient13	T cell CD8	5377
1017	GSE164522	patient14	T cell CD8	4386
1018	GSE164522	patient15	T cell CD8	2703
1019	GSE164522	patient16	T cell CD8	6190
1020	GSE164522	patient17	T cell CD8	3827
1021	GSE125449	S02_P01_LCP21	T cell CD8	30
1022	GSE125449	S11_P06_LCP29	T cell CD8	327
1023	GSE125449	S12_P07_LCP30	T cell CD8	31
1024	GSE125449	S15_P09_LCP38	T cell CD8	11
1025	GSE125449	S300_P02_LCP60	T cell CD8	144
1026	GSE125449	S358_P16_LCP46	T cell CD8	1
1027	GSE125449	S365_P22_LCP66	T cell CD8	10
1028	GSE132465	SMC01	T cell CD8	491
1029	GSE132465	SMC02	T cell CD8	140
1030	GSE132465	SMC03	T cell CD8	131
1031	GSE132465	SMC04	T cell CD8	95
1032	GSE132465	SMC05	T cell CD8	273
1033	GSE132465	SMC06	T cell CD8	294
1034	GSE132465	SMC07	T cell CD8	702
1035	GSE132465	SMC08	T cell CD8	511
1036	GSE132465	SMC09	T cell CD8	741
1037	GSE132465	SMC10	T cell CD8	259
1038	GSE132465	SMC11	T cell CD8	266
1039	GSE132465	SMC14	T cell CD8	308
1040	GSE132465	SMC15	T cell CD8	276
1041	GSE132465	SMC16	T cell CD8	51
1042	GSE132465	SMC17	T cell CD8	81
1043	GSE132465	SMC18	T cell CD8	78
1044	GSE132465	SMC19	T cell CD8	216
1045	GSE132465	SMC20	T cell CD8	130
1046	GSE132465	SMC21	T cell CD8	167
1047	GSE132465	SMC22	T cell CD8	149
1048	GSE132465	SMC23	T cell CD8	142
1049	GSE132465	SMC24	T cell CD8	266
1050	GSE132465	SMC25	T cell CD8	215
